type,item,state,confidence,risk_if_deleted,recommended_action,evidence
public-asset,public/images/blog/abogado-penalista-sur.webp,unreferenced-static,Media,Medio,"Cruzar con DB de blog/page_content; si no aparece, eliminar o deduplicar",refs=0; size=112744
public-asset,public/images/blog/abogado-aduanero-san-lorenzo.webp,unreferenced-static,Media,Medio,"Cruzar con DB de blog/page_content; si no aparece, eliminar o deduplicar",refs=0; size=83430
public-asset,public/images/blog/contratos-mercantiles-proteger-negocio.webp,unreferenced-static,Media,Medio,"Cruzar con DB de blog/page_content; si no aparece, eliminar o deduplicar",refs=0; size=43734
public-asset,public/images/blog/pexels-ekaterina-bolovtsova-6077861.avif,unreferenced-static,Media,Medio,"Cruzar con DB de blog/page_content; si no aparece, eliminar o deduplicar",refs=0; size=51520
public-asset,public/images/blog/abogados-en-amapala-valle.webp,unreferenced-static,Media,Medio,"Cruzar con DB de blog/page_content; si no aparece, eliminar o deduplicar",refs=0; size=15878
public-asset,public/images/blog/pexels-ekaterina-bolovtsova-6077861.webp,unreferenced-static,Media,Medio,"Cruzar con DB de blog/page_content; si no aparece, eliminar o deduplicar",refs=0; size=63986
public-asset,public/images/blog/abogado-civil-choluteca.webp,unreferenced-static,Media,Medio,"Cruzar con DB de blog/page_content; si no aparece, eliminar o deduplicar",refs=0; size=40144
public-asset,public/images/blog/abogados-en-san-marcos-de-colon-choluteca.webp,unreferenced-static,Media,Medio,"Cruzar con DB de blog/page_content; si no aparece, eliminar o deduplicar",refs=0; size=105772
public-asset,public/images/blog/pension-alimenticia-choluteca.webp,unreferenced-static,Media,Medio,"Cruzar con DB de blog/page_content; si no aparece, eliminar o deduplicar",refs=0; size=42796
public-asset,public/images/blog/jorono-international-2693200.avif,unreferenced-static,Media,Medio,"Cruzar con DB de blog/page_content; si no aparece, eliminar o deduplicar",refs=0; size=114162
public-asset,public/images/blog/carlos-muza-hpjSkU2UYSU-unsplash.webp,unreferenced-static,Media,Medio,"Cruzar con DB de blog/page_content; si no aparece, eliminar o deduplicar",refs=0; size=48422
public-asset,public/images/blog/expropiacion-forzosa-derechos-propietario-honduras.webp,unreferenced-static,Media,Medio,"Cruzar con DB de blog/page_content; si no aparece, eliminar o deduplicar",refs=0; size=97172
public-asset,public/images/blog/reformas-legales-recientes-honduras.webp,unreferenced-static,Media,Medio,"Cruzar con DB de blog/page_content; si no aparece, eliminar o deduplicar",refs=0; size=48516
public-asset,public/images/blog/constitucion-empresas-honduras-pasos-legales.webp,unreferenced-static,Media,Medio,"Cruzar con DB de blog/page_content; si no aparece, eliminar o deduplicar",refs=0; size=99130
public-asset,public/images/blog/habilitacion-clinicas-hospitales-privados-honduras.webp,unreferenced-static,Media,Medio,"Cruzar con DB de blog/page_content; si no aparece, eliminar o deduplicar",refs=0; size=34266
public-asset,public/images/blog/contratos-civiles-honduras-errores-comunes.webp,unreferenced-static,Media,Medio,"Cruzar con DB de blog/page_content; si no aparece, eliminar o deduplicar",refs=0; size=40144
public-asset,public/images/blog/abogado-empresas-san-lorenzo.webp,unreferenced-static,Media,Medio,"Cruzar con DB de blog/page_content; si no aparece, eliminar o deduplicar",refs=0; size=15878
public-asset,public/images/blog/abogados-en-marcovia-choluteca.webp,unreferenced-static,Media,Medio,"Cruzar con DB de blog/page_content; si no aparece, eliminar o deduplicar",refs=0; size=105772
public-asset,public/images/blog/abogado-penalista-choluteca.webp,unreferenced-static,Media,Medio,"Cruzar con DB de blog/page_content; si no aparece, eliminar o deduplicar",refs=0; size=112744
public-asset,public/images/blog/abogado-familia-choluteca.webp,unreferenced-static,Media,Medio,"Cruzar con DB de blog/page_content; si no aparece, eliminar o deduplicar",refs=0; size=66046
public-asset,public/images/blog/abogados-en-pespire-choluteca.webp,unreferenced-static,Media,Medio,"Cruzar con DB de blog/page_content; si no aparece, eliminar o deduplicar",refs=0; size=105772
public-asset,public/images/blog/abogados-en-san-lorenzo.webp,unreferenced-static,Media,Medio,"Cruzar con DB de blog/page_content; si no aparece, eliminar o deduplicar",refs=0; size=105772
public-asset,public/images/blog/habeas-corpus-cuando-interponer-honduras.avif,unreferenced-static,Media,Medio,"Cruzar con DB de blog/page_content; si no aparece, eliminar o deduplicar",refs=0; size=388450
public-asset,public/images/blog/abogados-en-choluteca.webp,unreferenced-static,Media,Medio,"Cruzar con DB de blog/page_content; si no aparece, eliminar o deduplicar",refs=0; size=105772
public-asset,public/images/blog/central-riesgos-consultar-impugnar-honduras.webp,unreferenced-static,Media,Medio,"Cruzar con DB de blog/page_content; si no aparece, eliminar o deduplicar",refs=0; size=30742
public-asset,public/images/blog/fotografo-samuel-cruz-xyEIdq6wQvw-unsplash.webp,unreferenced-static,Media,Medio,"Cruzar con DB de blog/page_content; si no aparece, eliminar o deduplicar",refs=0; size=44560
public-asset,public/images/blog/abogado-laboral-choluteca.webp,unreferenced-static,Media,Medio,"Cruzar con DB de blog/page_content; si no aparece, eliminar o deduplicar",refs=0; size=62792
public-asset,public/images/blog/zonas-libres-zoli-beneficios-fiscales-honduras.webp,unreferenced-static,Media,Medio,"Cruzar con DB de blog/page_content; si no aparece, eliminar o deduplicar",refs=0; size=281938
public-asset,public/images/blog/jorono-international-2693200.webp,unreferenced-static,Media,Medio,"Cruzar con DB de blog/page_content; si no aparece, eliminar o deduplicar",refs=0; size=120434
public-asset,public/images/corporate/courthouse.avif,unreferenced-static,Media,Medio,"Cruzar con DB de blog/page_content; si no aparece, eliminar o deduplicar",refs=0; size=301805
duplicate-group,public/images/blog/abogados-en-choluteca.webp | public/images/blog/abogados-en-marcovia-choluteca.webp | public/images/blog/abogados-en-nacaome.webp | public/images/blog/abogados-en-pespire-choluteca.webp | public/images/blog/abogados-en-san-lorenzo.webp | public/images/blog/abogados-en-san-marcos-de-colon-choluteca.webp | public/images/blog/bufete-abogados.webp,DUP-01,Alta,Medio,"Elegir ruta canónica, actualizar referencias y borrar copias tras test de assets",copies=7; wasted_bytes=634632; sha256=97a20b44396cb6115bbc8e2d141050587c4225264cb1bf763b2eed3276e4c5e9
duplicate-group,public/images/blog/abogado-penalista-choluteca.webp | public/images/blog/abogado-penalista-sur-honduras.webp | public/images/blog/abogado-penalista-sur.webp,DUP-02,Alta,Medio,"Elegir ruta canónica, actualizar referencias y borrar copias tras test de assets",copies=3; wasted_bytes=225488; sha256=b69ea1706cf24f81f9129d9505f35f495aeae89da880c78a5718d72c1c7b5e8d
duplicate-group,public/images/blog/accidente-transito-choluteca.webp | public/images/blog/danos-perjuicios-indemnizacion-honduras.webp,DUP-03,Alta,Medio,"Elegir ruta canónica, actualizar referencias y borrar copias tras test de assets",copies=2; wasted_bytes=223614; sha256=d4a3fdca4ed67762f6f649e05a6c845c1adc18279b169d9367f8f1a4a1726ca9
duplicate-group,public/images/blog/poder-legal-honduras-cuando-se-necesita.webp | public/images/blog/poder-notarial-honduras-tipos-requisitos.webp,DUP-04,Alta,Medio,"Elegir ruta canónica, actualizar referencias y borrar copias tras test de assets",copies=2; wasted_bytes=203768; sha256=402e7519f2eaee923a09222a0d3dfefcf80b2f16b71f74c19fd0cba58700f885
duplicate-group,public/images/blog/abogado-familia-choluteca.webp | public/images/blog/divorcio-choluteca.webp | public/images/blog/divorcio-honduras-guia-completa.webp | public/images/blog/divorcio-tipos-requisitos-tiempos-honduras.webp,DUP-05,Alta,Medio,"Elegir ruta canónica, actualizar referencias y borrar copias tras test de assets",copies=4; wasted_bytes=198138; sha256=11e501dd58402e19bb9831ea04e6221c914140e461a2cd7e81f0a5ceb143541a
duplicate-group,public/images/despacho/diosa-justicia.webp | public/images/penal/recursos-impugnaciones.webp | public/images/penal/representacion-integral.webp,DUP-06,Alta,Medio,"Elegir ruta canónica, actualizar referencias y borrar copias tras test de assets",copies=3; wasted_bytes=180952; sha256=a6f89816b868bca0f8cf25e2118dd9b328a02d27a0a8cf0f5ae3d1f38c50f2fa
duplicate-group,public/images/blog/abogado-aduanero-san-lorenzo.webp | public/images/blog/codigo-aduanero-centroamericano-basico-honduras.webp | public/images/blog/guia-aduanera-importaciones-honduras.webp,DUP-07,Alta,Medio,"Elegir ruta canónica, actualizar referencias y borrar copias tras test de assets",copies=3; wasted_bytes=166860; sha256=b89907d26bbe6488f53a8311ff6a0ba17fdc05c8695bec62b3955a4fd4253a4d
duplicate-group,public/images/blog/contratos-franquicia-aspectos-legales-honduras.webp | public/images/blog/impuestos-pequenas-empresas-guia-basica-honduras.webp,DUP-08,Alta,Medio,"Elegir ruta canónica, actualizar referencias y borrar copias tras test de assets",copies=2; wasted_bytes=148210; sha256=7b9bee82f19714476a0c007be50b103f1b795ebeddb5db5aeb87c5f9fd8a1fd0
duplicate-group,public/images/blog/derecho-ambiental-honduras.webp | public/images/blog/evaluacion-impacto-ambiental-honduras.webp | public/images/blog/evaluacion-impacto-ambiental-paso-a-paso-honduras.webp,DUP-09,Alta,Medio,"Elegir ruta canónica, actualizar referencias y borrar copias tras test de assets",copies=3; wasted_bytes=144756; sha256=e1d9367a821cdcdeddc854b9b52d7ad7ca100fd2095a51bf1fbb216f18806bf0
duplicate-group,public/images/blog/importaciones-san-lorenzo.webp | public/images/blog/importar-mercancias-guia-legal-aduanera-honduras.webp,DUP-10,Alta,Medio,"Elegir ruta canónica, actualizar referencias y borrar copias tras test de assets",copies=2; wasted_bytes=133332; sha256=644501bacfa9aab121512064a3872d2ef826c5a764dfc7d1110996a8a16ede1e
duplicate-group,public/images/blog/abogado-laboral-choluteca.webp | public/images/blog/despido-injustificado-honduras-derechos-trabajador.webp | public/images/blog/despido-laboral-honduras-guia-completa.webp,DUP-11,Alta,Medio,"Elegir ruta canónica, actualizar referencias y borrar copias tras test de assets",copies=3; wasted_bytes=125584; sha256=41ad75001077e06bf5c3aba2e1a99dd3e2a0bcd96e52282e0ae2faad34be9164
duplicate-group,public/images/blog/elegir-tipo-sociedad-empresa-honduras.webp | public/images/blog/tipos-sociedad-mercantil-honduras.webp,DUP-12,Alta,Medio,"Elegir ruta canónica, actualizar referencias y borrar copias tras test de assets",copies=2; wasted_bytes=86944; sha256=46364bcd89fafc34c6478547e5e76efa686d700bdc922434098fa4d187196966
duplicate-group,public/images/blog/pension-alimenticia-choluteca.webp | public/images/blog/pension-alimenticia-honduras-como-solicitarla.webp | public/images/blog/pension-alimenticia-honduras-guia-completa.webp,DUP-13,Alta,Medio,"Elegir ruta canónica, actualizar referencias y borrar copias tras test de assets",copies=3; wasted_bytes=85592; sha256=6ef20f7d975da25e6b42223b863cd42c689ee4db708b87c2248986a725376244
duplicate-group,ahrefs/pineda-&-asociados_10-jul-2026_links-target-r_2026-07-10_11-25-46.csv | ahrefs/pineda-&-asociados_10-jul-2026_links-target-r_2026-07-10_11-26-24.csv,DUP-14,Alta,Medio,"Elegir ruta canónica, actualizar referencias y borrar copias tras test de assets",copies=2; wasted_bytes=81644; sha256=4fa610c71a4ea3d355132c4ad0dfc4a839334bce14fb7f5ab406dec196dfe970
duplicate-group,public/images/blog/abogado-civil-choluteca.webp | public/images/blog/contratos-civiles-honduras-errores-comunes.webp | public/images/blog/errores-contratos-civiles-honduras.webp,DUP-15,Alta,Medio,"Elegir ruta canónica, actualizar referencias y borrar copias tras test de assets",copies=3; wasted_bytes=80288; sha256=9201b8638bb26ed2560527c1322fc5377be7e0df1a0b9bf93e0af43f64675433
duplicate-group,public/images/blog/defensa-sar-choluteca.webp | public/images/blog/facturacion-electronica-obligaciones-requisitos-sar-honduras.webp,DUP-16,Alta,Medio,"Elegir ruta canónica, actualizar referencias y borrar copias tras test de assets",copies=2; wasted_bytes=76748; sha256=f2f52ad9ede56dfc6566b39bed4ee6dd213d3a6612dbe5cf95b996a74c2745d9
duplicate-group,public/images/blog/recurso-de-amparo-honduras-guia-completa.webp | public/images/blog/recurso-de-amparo-para-que-sirve-honduras.webp,DUP-17,Alta,Medio,"Elegir ruta canónica, actualizar referencias y borrar copias tras test de assets",copies=2; wasted_bytes=68852; sha256=fc4f2d2faa8e36d225c25e84231f12e26e0d241e8c11f6ee82851fbb97c7d7df
duplicate-group,public/images/blog/como-elegir-abogado-honduras.webp | public/images/blog/como-elegir-buen-abogado-guia-practica-honduras.webp,DUP-18,Alta,Medio,"Elegir ruta canónica, actualizar referencias y borrar copias tras test de assets",copies=2; wasted_bytes=63518; sha256=9a97b9774fe4913393b9ddaf774d930e5500789b243d2115eef4db4655e2d998
duplicate-group,public/images/blog/defensa-penal-honduras.webp | public/images/blog/defensa-penal.webp,DUP-19,Alta,Medio,"Elegir ruta canónica, actualizar referencias y borrar copias tras test de assets",copies=2; wasted_bytes=60068; sha256=f7464174909baa66454c63c91af2cacb0c0d5ce8eaebd2fbfccda66fe14e1d29
duplicate-group,public/images/blog/proceso-consulta-legal-pineda-asociados-honduras.webp | public/images/blog/tramites-legales-nacaome.webp,DUP-20,Alta,Medio,"Elegir ruta canónica, actualizar referencias y borrar copias tras test de assets",copies=2; wasted_bytes=55900; sha256=bbcee1f64e93e8349908f3043b90464dbb1ff8a6dc3a0c3e2d0866d10f7d7a33
duplicate-group,public/images/blog/despido-empleados-publicos-honduras.webp | public/images/blog/despido-empleados-publicos-procedencia-defensa-honduras.webp,DUP-21,Alta,Medio,"Elegir ruta canónica, actualizar referencias y borrar copias tras test de assets",copies=2; wasted_bytes=55086; sha256=df294eb05f69738de87ee19d9bdd8e727680f338217c7b2a8798e32781fadaa2
duplicate-group,public/images/blog/demanda-laboral-choluteca.webp | public/images/blog/despido-laboral.webp,DUP-22,Alta,Medio,"Elegir ruta canónica, actualizar referencias y borrar copias tras test de assets",copies=2; wasted_bytes=49052; sha256=4e195d9b22786c99c1314d98a5a45d1f0053407cc0911fa2b39cf1a3e8d77315
duplicate-group,public/images/blog/actualizacion-legislativa-mensual-honduras.webp | public/images/blog/reformas-legales-recientes-honduras.webp,DUP-23,Alta,Medio,"Elegir ruta canónica, actualizar referencias y borrar copias tras test de assets",copies=2; wasted_bytes=48516; sha256=42d12df104a856fa5f2dbe9dbed5036eee37d2fd43341a4a983c8041d07b8525
duplicate-group,public/images/blog/cobro-deudas-choluteca.webp | public/images/blog/reclamar-deuda-legalmente-honduras.webp,DUP-24,Alta,Medio,"Elegir ruta canónica, actualizar referencias y borrar copias tras test de assets",copies=2; wasted_bytes=45120; sha256=d7c53449d434a45cc56407bbecdc2da3bf24e4d5e3deecb00949a9209ea29cff
duplicate-group,public/images/blog/divorcio-honduras-pasos-requisitos.webp | public/images/blog/tramites-notariales-frecuentes-honduras.webp,DUP-25,Alta,Medio,"Elegir ruta canónica, actualizar referencias y borrar copias tras test de assets",copies=2; wasted_bytes=42588; sha256=435e5321b153da5e18520cb94fbe3a71f59995c54386c06c19fdcf9bf1c0855b
duplicate-group,public/images/blog/cuando-prescribe-delito-en-honduras.webp | public/images/blog/prescripcion-deudas-plazos-honduras.webp,DUP-26,Alta,Medio,"Elegir ruta canónica, actualizar referencias y borrar copias tras test de assets",copies=2; wasted_bytes=41716; sha256=7071f9dee83d06bbd946e03f115ff7be835783bb5d5791f362ad6acf1fb6b9b4
duplicate-group,public/images/blog/impuesto-renta-guia-personas-fisicas-honduras.webp | public/images/blog/impuesto-renta-personas-fisicas-honduras.webp,DUP-27,Alta,Medio,"Elegir ruta canónica, actualizar referencias y borrar copias tras test de assets",copies=2; wasted_bytes=40994; sha256=1ee3ec96ae98d124ca8d83df65c0717c963671293b64548e423bfb4642a95275
duplicate-group,public/images/blog/derechos-del-detenido-guia-constitucional-honduras.webp | public/images/blog/derechos-detenido-honduras-guia-constitucional.webp,DUP-28,Alta,Medio,"Elegir ruta canónica, actualizar referencias y borrar copias tras test de assets",copies=2; wasted_bytes=37506; sha256=312ac22fce6976ea78449e41be78eb8ca15a3a7e80095b96fc37a3f7e5495e95
duplicate-group,public/images/blog/antejuicio-en-honduras.webp | public/images/servicios/servicios-bg.webp,DUP-29,Alta,Medio,"Elegir ruta canónica, actualizar referencias y borrar copias tras test de assets",copies=2; wasted_bytes=35240; sha256=e68d80b8f5989499675930b88fe4aa876b4771b73044afb853d47776d5b1bcf3
duplicate-group,public/images/blog/abogado-empresas-san-lorenzo.webp | public/images/blog/abogados-en-amapala-valle.webp | public/images/blog/servicios-empresariales.webp,DUP-30,Alta,Medio,"Elegir ruta canónica, actualizar referencias y borrar copias tras test de assets",copies=3; wasted_bytes=31756; sha256=f5fbe477da7e5e1a9be05370dc9d4bc21cfaa241665ee878ab20eff4b3e7b81e
duplicate-group,public/images/blog/central-riesgos-consultar-impugnar-honduras.webp | public/images/blog/central-riesgos-honduras-consultar-impugnar.webp,DUP-31,Alta,Medio,"Elegir ruta canónica, actualizar referencias y borrar copias tras test de assets",copies=2; wasted_bytes=30742; sha256=f8994afeaba909eda56a3f0d458542f24c82d7085317bb0405409d7b4c25cc95
duplicate-group,public/images/blog/contratos-trabajo-tipos-clausulas-honduras.webp | public/images/blog/sar-notifica-fiscalizacion-que-hacer-honduras.webp,DUP-32,Alta,Medio,"Elegir ruta canónica, actualizar referencias y borrar copias tras test de assets",copies=2; wasted_bytes=27774; sha256=37121bfcd515e0ff6213a0240554b1e6a5144660e808cb47dcc36f78e69a46c0
duplicate-group,public/images/blog/registrar-marca-honduras-paso-a-paso.webp | public/images/blog/registrar-marca-paso-a-paso-honduras.webp,DUP-33,Alta,Medio,"Elegir ruta canónica, actualizar referencias y borrar copias tras test de assets",copies=2; wasted_bytes=26150; sha256=3ce2fbe3ccc36e03efbcf8e516aebc81f6f860cb294f98c509e527be329a2db9
duplicate-group,public/images/blog/derechos-consumidor-financiero-cnbs-honduras.webp | public/images/blog/derechos-consumidor-financiero-honduras-cnbs.webp,DUP-34,Alta,Medio,"Elegir ruta canónica, actualizar referencias y borrar copias tras test de assets",copies=2; wasted_bytes=25766; sha256=3f34cb944d9f94e392973328f50c48f809cb30e6db75b8f340ed62f77be1749d
duplicate-group,docs/audits/blog-pendientes-revision-humana.md | docs/audits/blog-revision-humana-pendiente.md,DUP-35,Alta,Medio,"Elegir ruta canónica, actualizar referencias y borrar copias tras test de assets",copies=2; wasted_bytes=22476; sha256=e6f8482eecf9b14bd8039a6a752e57a7861ad104f34254d5735dec46eb2584a7
duplicate-group,public/images/blog/arbitraje-cuando-conviene-como-funciona-honduras.webp | public/images/blog/arbitraje-honduras-guia-completa.webp,DUP-36,Alta,Medio,"Elegir ruta canónica, actualizar referencias y borrar copias tras test de assets",copies=2; wasted_bytes=21650; sha256=f7a0349bd55c0eb5838be7b8fad3d9678f1df409b91a3875079171145e9183d9
duplicate-group,public/images/blog/ejecucion-hipotecaria-honduras-que-hacer.webp | public/images/blog/ejecucion-hipotecaria-que-hacer-honduras.webp,DUP-37,Alta,Medio,"Elegir ruta canónica, actualizar referencias y borrar copias tras test de assets",copies=2; wasted_bytes=15500; sha256=769e1453a6749c77ff5b8df53fb97558a7a4a98df6f9c71f33810c2d710235d7
duplicate-group,auditoria_seo/recrawl_bing/urls-enviadas-indexnow-dryrun.csv | auditoria_seo/recrawl_bing/urls-enviadas-indexnow.csv,DUP-38,Alta,Medio,"Elegir ruta canónica, actualizar referencias y borrar copias tras test de assets",copies=2; wasted_bytes=10861; sha256=aa1cdc68d65140e6c4e42c098d165fc369ebf71acab5c15670270483a648ee5f
duplicate-group,data/backups/fase3b-links/prescripcion-deudas-plazos-honduras.html | scripts/prescripcion_modified.html,DUP-39,Alta,Medio,"Elegir ruta canónica, actualizar referencias y borrar copias tras test de assets",copies=2; wasted_bytes=8645; sha256=c803d9f4d1894e712d87c24100a7917578a0a82cb2cbb0c7fa727340b049829b
dependency,recharts,no-static-import,Baja,Medio,Verificar uso por CLI/config/tipos antes de npm uninstall,dependencies ^3.9.2
dependency,@cyclonedx/cyclonedx-npm,no-static-import,Baja,Medio,Verificar uso por CLI/config/tipos antes de npm uninstall,devDependencies ^6.0.0
dependency,@modelcontextprotocol/server-filesystem,no-static-import,Baja,Medio,Verificar uso por CLI/config/tipos antes de npm uninstall,devDependencies ^2026.7.10
dependency,@tailwindcss/postcss,no-static-import,Baja,Medio,Verificar uso por CLI/config/tipos antes de npm uninstall,devDependencies ^4
dependency,@testing-library/dom,no-static-import,Baja,Medio,Verificar uso por CLI/config/tipos antes de npm uninstall,devDependencies ^10.4.1
dependency,@types/bcryptjs,no-static-import,Baja,Medio,Verificar uso por CLI/config/tipos antes de npm uninstall,devDependencies ^2.4.6
dependency,@types/jsonwebtoken,no-static-import,Baja,Medio,Verificar uso por CLI/config/tipos antes de npm uninstall,devDependencies ^9.0.10
dependency,@types/node,no-static-import,Baja,Medio,Verificar uso por CLI/config/tipos antes de npm uninstall,devDependencies ^20
dependency,@types/pdfkit,no-static-import,Baja,Medio,Verificar uso por CLI/config/tipos antes de npm uninstall,devDependencies ^0.17.6
dependency,@types/react,no-static-import,Baja,Medio,Verificar uso por CLI/config/tipos antes de npm uninstall,devDependencies ^19
dependency,@types/react-dom,no-static-import,Baja,Medio,Verificar uso por CLI/config/tipos antes de npm uninstall,devDependencies ^19
dependency,@types/sanitize-html,no-static-import,Baja,Medio,Verificar uso por CLI/config/tipos antes de npm uninstall,devDependencies ^2.16.1
dependency,@vitest/coverage-v8,no-static-import,Baja,Medio,Verificar uso por CLI/config/tipos antes de npm uninstall,devDependencies ^4.1.10
dependency,jsdom,no-static-import,Baja,Medio,Verificar uso por CLI/config/tipos antes de npm uninstall,devDependencies ^29.1.1
dependency,tailwindcss,no-static-import,Baja,Medio,Verificar uso por CLI/config/tipos antes de npm uninstall,devDependencies ^4
dependency,typescript,no-static-import,Baja,Medio,Verificar uso por CLI/config/tipos antes de npm uninstall,devDependencies ^5
unresolved-import,scripts/archive/re-audit-loop.ts,unresolved-import,Media,Bajo,Corregir resolución o clasificar el script como obsoleto/archivado,../lib/schema
unresolved-import,scripts/update-pension-db.ts,unresolved-import,Media,Bajo,Corregir resolución o clasificar el script como obsoleto/archivado,../lib/db.js
unresolved-import,scripts/update-pension-db.ts,unresolved-import,Media,Bajo,Corregir resolución o clasificar el script como obsoleto/archivado,../lib/schema.js
unresolved-import,scripts/archive/get-article-agy.ts,unresolved-import,Media,Bajo,Corregir resolución o clasificar el script como obsoleto/archivado,../lib/db
unresolved-import,scripts/archive/get-article-agy.ts,unresolved-import,Media,Bajo,Corregir resolución o clasificar el script como obsoleto/archivado,../lib/schema
unresolved-import,scripts/update-prestaciones-db.ts,unresolved-import,Media,Bajo,Corregir resolución o clasificar el script como obsoleto/archivado,../lib/db.js
unresolved-import,scripts/update-prestaciones-db.ts,unresolved-import,Media,Bajo,Corregir resolución o clasificar el script como obsoleto/archivado,../lib/schema.js
unresolved-import,scripts/archive/agent-loop.ts,unresolved-import,Media,Bajo,Corregir resolución o clasificar el script como obsoleto/archivado,../lib/schema
unresolved-import,scripts/archive/native-update.ts,unresolved-import,Media,Bajo,Corregir resolución o clasificar el script como obsoleto/archivado,../lib/schema
unresolved-import,scripts/archive/get-article.ts,unresolved-import,Media,Bajo,Corregir resolución o clasificar el script como obsoleto/archivado,../lib/db
unresolved-import,scripts/archive/get-article.ts,unresolved-import,Media,Bajo,Corregir resolución o clasificar el script como obsoleto/archivado,../lib/schema
unresolved-import,scripts/phase1-optimize-posts.ts,unresolved-import,Media,Bajo,Corregir resolución o clasificar el script como obsoleto/archivado,../lib/db.js
unresolved-import,scripts/phase1-optimize-posts.ts,unresolved-import,Media,Bajo,Corregir resolución o clasificar el script como obsoleto/archivado,../lib/schema.js
unresolved-import,scripts/archive/get_body.ts,unresolved-import,Media,Bajo,Corregir resolución o clasificar el script como obsoleto/archivado,../lib/db
unresolved-import,scripts/archive/get_body.ts,unresolved-import,Media,Bajo,Corregir resolución o clasificar el script como obsoleto/archivado,../lib/schema
unresolved-import,scripts/archive/fetch-pending.ts,unresolved-import,Media,Bajo,Corregir resolución o clasificar el script como obsoleto/archivado,../lib/schema
unresolved-import,scripts/dump-blog-posts.ts,unresolved-import,Media,Bajo,Corregir resolución o clasificar el script como obsoleto/archivado,../lib/db.js
unresolved-import,scripts/dump-blog-posts.ts,unresolved-import,Media,Bajo,Corregir resolución o clasificar el script como obsoleto/archivado,../lib/schema.js
unresolved-import,scripts/update-prescripcion-db.ts,unresolved-import,Media,Bajo,Corregir resolución o clasificar el script como obsoleto/archivado,../lib/db.js
unresolved-import,scripts/update-prescripcion-db.ts,unresolved-import,Media,Bajo,Corregir resolución o clasificar el script como obsoleto/archivado,../lib/schema.js
unresolved-import,scripts/update-allanamiento-db.ts,unresolved-import,Media,Bajo,Corregir resolución o clasificar el script como obsoleto/archivado,../lib/db.js
unresolved-import,scripts/update-allanamiento-db.ts,unresolved-import,Media,Bajo,Corregir resolución o clasificar el script como obsoleto/archivado,../lib/schema.js
unresolved-import,scripts/dump-target-posts.ts,unresolved-import,Media,Bajo,Corregir resolución o clasificar el script como obsoleto/archivado,../lib/db.js
unresolved-import,scripts/dump-target-posts.ts,unresolved-import,Media,Bajo,Corregir resolución o clasificar el script como obsoleto/archivado,../lib/schema.js
unresolved-import,scripts/restore-target-posts.ts,unresolved-import,Media,Bajo,Corregir resolución o clasificar el script como obsoleto/archivado,../lib/db.js
unresolved-import,scripts/restore-target-posts.ts,unresolved-import,Media,Bajo,Corregir resolución o clasificar el script como obsoleto/archivado,../lib/schema.js
unresolved-import,tests/blog-verification-phase2.test.ts,unresolved-import,Media,Bajo,Corregir resolución o clasificar el script como obsoleto/archivado,../next.config
unresolved-import,scripts/archive/fetch-article.ts,unresolved-import,Media,Bajo,Corregir resolución o clasificar el script como obsoleto/archivado,../lib/schema
unresolved-import,scripts/update-domesticas-db.ts,unresolved-import,Media,Bajo,Corregir resolución o clasificar el script como obsoleto/archivado,../lib/db.js
unresolved-import,scripts/update-domesticas-db.ts,unresolved-import,Media,Bajo,Corregir resolución o clasificar el script como obsoleto/archivado,../lib/schema.js
unresolved-import,scripts/archive/update-block.ts,unresolved-import,Media,Bajo,Corregir resolución o clasificar el script como obsoleto/archivado,../lib/schema
