slug,url,publication_status,final_classification,batch,action_required,review_date
"recurso-de-amparo-para-que-sirve-honduras","https://www.pinedayasociadoshn.com/blog/derecho-administrativo/recurso-de-amparo-para-que-sirve-honduras","unpublished","UNPUBLISHED","-","false","2026-09-01"
"recursos-sentencia-penal-apelacion-casacion-honduras","https://www.pinedayasociadoshn.com/blog/proceso-penal/recursos-sentencia-penal-apelacion-casacion-honduras","published","APPROVED_TITLE_META","3","false","2026-09-01"
"reformas-legales-recientes-honduras","https://www.pinedayasociadoshn.com/blog/noticias-legales/reformas-legales-recientes-honduras","published","APPROVED_TITLE_META_H1","3","false","2026-09-01"
"refugio-asilo-solicitarlo","https://www.pinedayasociadoshn.com/blog/extranjeria-migracion/refugio-asilo-solicitarlo","published","APPROVED_TITLE_META","7","false","2026-09-01"
"registrar-marca-honduras-paso-a-paso","https://www.pinedayasociadoshn.com/blog/propiedad-intelectual/registrar-marca-honduras-paso-a-paso","published","APPROVED_TITLE_META","9","false","2026-09-01"
"registrar-marca-paso-a-paso-honduras","https://www.pinedayasociadoshn.com/blog/propiedad-intelectual/registrar-marca-paso-a-paso-honduras","unpublished","UNPUBLISHED","-","false","2026-09-01"
"registro-medicamentos-productos-farmaceuticos-honduras","https://www.pinedayasociadoshn.com/blog/regulacion-sanitaria/registro-medicamentos-productos-farmaceuticos-honduras","published","APPROVED_TITLE_META","2","false","2026-09-01"
"registro-sanitario-alimentos-arsa-paso-a-paso-honduras","https://www.pinedayasociadoshn.com/blog/regulacion-sanitaria/registro-sanitario-alimentos-arsa-paso-a-paso-honduras","published","APPROVED_METADATA_ONLY","2","false","2026-09-01"
"residencia-temporal-requisitos-plazos-honduras","https://www.pinedayasociadoshn.com/blog/extranjeria-migracion/residencia-temporal-requisitos-plazos-honduras","published","APPROVED_TITLE_META","4","false","2026-09-01"
"responsabilidad-medica-mala-praxis-honduras","https://www.pinedayasociadoshn.com/blog/regulacion-sanitaria/responsabilidad-medica-mala-praxis-honduras","published","APPROVED_TITLE_META_H1","5","false","2026-09-01"
"riesgos-profesionales-accidentes","https://www.pinedayasociadoshn.com/blog/derecho-laboral/riesgos-profesionales-accidentes","published","APPROVED_METADATA_ONLY","6","false","2026-09-01"
"sanciones-administrativas-como-defenderse-honduras","https://www.pinedayasociadoshn.com/blog/derecho-administrativo/sanciones-administrativas-como-defenderse-honduras","published","APPROVED_TITLE_META","9","false","2026-09-01"
"sar-notifica-fiscalizacion-que-hacer-honduras","https://www.pinedayasociadoshn.com/blog/tributario/sar-notifica-fiscalizacion-que-hacer-honduras","published","APPROVED_TITLE_META","2","false","2026-09-01"
"servicios-legales-empresas-sur-honduras","https://www.pinedayasociadoshn.com/blog/derecho-civil/servicios-legales-empresas-sur-honduras","published","APPROVED_TITLE_META_H1","9","false","2026-09-01"
"sobreseimiento-definitivo-provisional","https://www.pinedayasociadoshn.com/blog/proceso-penal/sobreseimiento-definitivo-provisional","published","KEEP_NO_CHANGE","5","false","2026-09-01"
"tarjetas-credito-intereses-cargos-defensa-honduras","https://www.pinedayasociadoshn.com/blog/derecho-bancario/tarjetas-credito-intereses-cargos-defensa-honduras","published","APPROVED_TITLE_META","7","false","2026-09-01"
"testamentos-sucesiones-herencia-honduras","https://www.pinedayasociadoshn.com/blog/derecho-civil/testamentos-sucesiones-herencia-honduras","published","APPROVED_TITLE_META","3","false","2026-09-01"
"tipos-sociedad-mercantil-honduras","https://www.pinedayasociadoshn.com/blog/derecho-mercantil/tipos-sociedad-mercantil-honduras","published","INSUFFICIENT_DATA","2","true","2026-09-01"
"titulos-valores-cheques-sin-fondo-honduras","https://www.pinedayasociadoshn.com/blog/derecho-mercantil/titulos-valores-cheques-sin-fondo-honduras","published","APPROVED_TITLE_META","7","false","2026-09-01"
"tramites-legales-nacaome","https://www.pinedayasociadoshn.com/blog/practica-legal/tramites-legales-nacaome","published","APPROVED_TITLE_META","9","false","2026-09-01"
"tramites-notariales-frecuentes-honduras","https://www.pinedayasociadoshn.com/blog/derecho-notarial/tramites-notariales-frecuentes-honduras","unpublished","UNPUBLISHED","-","false","2026-09-01"
"tributar-espana-bienes-guia","https://www.pinedayasociadoshn.com/blog/hondurenos-en-espana/tributar-espana-bienes-guia","published","KEEP_NO_CHANGE","5","false","2026-09-01"
"union-de-hecho-requisitos-derechos-honduras","https://www.pinedayasociadoshn.com/blog/derecho-de-familia/union-de-hecho-requisitos-derechos-honduras","published","KEEP_NO_CHANGE","6","false","2026-09-01"
"usucapion-prescripcion-adquisitiva-honduras","https://www.pinedayasociadoshn.com/blog/derecho-civil/usucapion-prescripcion-adquisitiva-honduras","published","KEEP_NO_CHANGE","9","false","2026-09-01"
"violencia-domestica-ruta-legal-honduras","https://www.pinedayasociadoshn.com/blog/derecho-penal/violencia-domestica-ruta-legal-honduras","published","INSUFFICIENT_DATA","4","true","2026-09-01"
"violencia-intrafamiliar-denuncia-proteccion-honduras","https://www.pinedayasociadoshn.com/blog/derecho-de-familia/violencia-intrafamiliar-denuncia-proteccion-honduras","unpublished","UNPUBLISHED","-","false","2026-09-01"
"visas-inversion-rentista-pensionado","https://www.pinedayasociadoshn.com/blog/extranjeria-migracion/visas-inversion-rentista-pensionado","published","APPROVED_TITLE_META_H1","9","false","2026-09-01"
"zonas-libres-zoli-beneficios-fiscales-honduras","https://www.pinedayasociadoshn.com/blog/derecho-aduanero/zonas-libres-zoli-beneficios-fiscales-honduras","published","APPROVED_METADATA_ONLY","7","false","2026-09-01"
