"slug","publication_state","stored_body_hash","source_html_length","sanitized_source_length","final_html_length","removed_tags","removed_attributes","removed_schemes","removed_styles","removed_images","heading_count_before","heading_count_after","link_count_before","link_count_after","plain_text_equivalent","signature_still_valid","blocking","status"
"calcular-liquidacion-laboral-honduras","PENDING_RESIGNATURE","sha256:04cc41ef0cb2","7572","7503","9003","0","1","0","0","0","13","13","0","5","true","true","false","SANITIZED_NON_SEMANTIC"
"empleador-no-paga-salario-honduras","PENDING_RESIGNATURE","sha256:39969bf23b32","6388","6322","7945","0","1","0","0","0","21","21","0","5","true","true","false","SANITIZED_NON_SEMANTIC"
"jornada-laboral-horas-extra-descansos-honduras","PENDING_RESIGNATURE","sha256:a51a669450a0","7026","6922","7619","0","1","0","0","0","10","10","1","2","true","true","false","SANITIZED_NON_SEMANTIC"
"derechos-trabajadora-embarazada-honduras","PENDING_RESIGNATURE","sha256:002e65b16543","6913","6841","8282","0","1","0","0","0","14","14","0","5","true","true","false","SANITIZED_NON_SEMANTIC"
"acoso-laboral-mobbing-honduras","PENDING_RESIGNATURE","sha256:038c7736619e","7532","7470","8433","0","1","0","0","0","13","13","4","6","true","true","false","SANITIZED_NON_SEMANTIC"
"contratos-franquicia-aspectos","PENDING_RESIGNATURE","sha256:155d76544c53","7753","7692","8732","0","1","0","0","0","13","13","0","4","true","true","false","SANITIZED_NON_SEMANTIC"
"contratos-mercantiles-esenciales-empresas-honduras","PENDING_RESIGNATURE","sha256:7aec743208b4","6871","6789","7637","0","1","0","0","0","12","12","0","2","true","true","false","SANITIZED_NON_SEMANTIC"
"competencia-desleal-como-denunciar-honduras","PENDING_RESIGNATURE","sha256:e49e658c3a01","6798","6723","7497","0","1","0","0","0","12","12","0","1","true","true","false","SANITIZED_NON_SEMANTIC"
"incumplimiento-contrato-comercial-honduras","PENDING_RESIGNATURE","sha256:7e9bafaa77ac","7009","6935","8024","0","1","0","0","0","20","20","0","1","true","true","false","SANITIZED_NON_SEMANTIC"
"constitucion-empresas-honduras-pasos-legales","PENDING_RESIGNATURE","sha256:4657cf87706c","7890","7802","8460","36","1","0","0","0","15","15","6","8","true","true","false","SANITIZED_NON_SEMANTIC"
"titulos-valores-cheques-sin-fondo-honduras","PENDING_RESIGNATURE","sha256:8ca172f36f75","7853","7114","8117","0","1","0","0","0","16","16","0","2","true","true","false","SANITIZED_NON_SEMANTIC"
"elegir-tipo-sociedad-empresa-honduras","PENDING_RESIGNATURE","sha256:3b6bb08bfc16","5655","5586","5973","0","1","0","0","0","10","10","0","0","true","true","false","SANITIZED_NON_SEMANTIC"
"tipos-sociedad-mercantil-honduras","PENDING_RESIGNATURE","sha256:020edfd75fc8","7622","7557","8236","0","1","0","0","0","15","15","0","0","true","true","false","SANITIZED_NON_SEMANTIC"
"que-hacer-si-me-detienen-en-honduras","PENDING_RESIGNATURE","sha256:078520c370cb","7125","7057","7987","0","1","0","0","0","14","14","0","2","true","true","false","SANITIZED_NON_SEMANTIC"
"cuando-prescribe-delito-en-honduras","PENDING_RESIGNATURE","sha256:60988525da86","7166","7099","7921","0","1","0","0","0","12","12","0","2","true","true","false","SANITIZED_NON_SEMANTIC"
"fianza-medidas-cautelares-proceso-penal-honduras","PENDING_RESIGNATURE","sha256:cbff62f7b004","6811","6731","7927","0","1","0","0","0","15","15","0","4","true","true","false","SANITIZED_NON_SEMANTIC"
"audiencia-inicial-proceso-penal-honduras","PENDING_RESIGNATURE","sha256:88865dd44225","7444","7372","9067","0","1","0","0","0","22","22","2","6","true","true","false","SANITIZED_NON_SEMANTIC"
"estafas-fraudes-tipos-penales-honduras","PENDING_RESIGNATURE","sha256:3830925c724c","6214","6144","6786","0","1","0","0","0","13","13","0","1","true","true","false","SANITIZED_NON_SEMANTIC"
"allanamiento-ilegal-violacion-domicilio-honduras","PENDING_RESIGNATURE","sha256:458cad4fdafe","7313","7059","7651","0","1","0","0","0","11","11","3","4","true","true","false","SANITIZED_NON_SEMANTIC"
"derechos-detenido-honduras-guia-constitucional","PENDING_RESIGNATURE","sha256:3f91757e7b5c","8791","8713","9791","0","1","0","0","0","17","17","2","4","true","true","false","SANITIZED_NON_SEMANTIC"
"diferencia-denuncia-querella-acusacion-honduras","PENDING_RESIGNATURE","sha256:0102707b9d88","7037","6958","7937","0","1","0","0","0","17","17","2","3","true","true","false","SANITIZED_NON_SEMANTIC"
