"priority","article","area","current_signature","current_review_origin","proposed_signature_type","proposed_signer","content_changed","new_claims","legal_risk","review_packet","signature_status"
"P1","competencia-desleal-como-denunciar-honduras","derecho-mercantil","Pineda y Asociados","firm_historical_review","lawyer","Thania Marlene Paz","true","REVIEW_CHANGED_PARAGRAPHS","REVIEW_REQUIRED","docs/seo/review-packets/mercantil/batch-01.md","PENDING_RESIGNATURE"
"P3","importar-china-guia-aduanera","derecho-aduanero","Pineda y Asociados","firm_historical_review","firm","","false","0","HISTORICAL_REVIEW_CONFIRMED","","FIRM_SIGNATURE_VALID"
"P3","abogados-en-nacaome","practica-legal","Pineda y Asociados","firm_historical_review","firm","","false","0","HISTORICAL_REVIEW_CONFIRMED","","FIRM_SIGNATURE_VALID"
"P2","usucapion-prescripcion-adquisitiva-honduras","derecho-civil","Pineda y Asociados","firm_historical_review","lawyer","Thania Marlene Paz","false","0","HISTORICAL_REVIEW_CONFIRMED","","READY_FOR_INDIVIDUAL_SIGNATURE"
"P2","divorcio-honduras-pasos-requisitos","derecho-de-familia","Pineda y Asociados","firm_historical_review","lawyer","Thania Marlene Paz","false","0","HISTORICAL_REVIEW_CONFIRMED","","READY_FOR_INDIVIDUAL_SIGNATURE"
"P1","tipos-sociedad-mercantil-honduras","derecho-mercantil","Pineda y Asociados","firm_historical_review","lawyer","Thania Marlene Paz","true","REVIEW_CHANGED_PARAGRAPHS","REVIEW_REQUIRED","docs/seo/review-packets/mercantil/batch-01.md","PENDING_RESIGNATURE"
"P1","compraventa-inmuebles-aspectos-legales-honduras","derecho-civil","Pineda y Asociados","firm_historical_review","lawyer","Thania Marlene Paz","true","REVIEW_CHANGED_PARAGRAPHS","REVIEW_REQUIRED","docs/seo/review-packets/civil-notarial/batch-01.md","PENDING_RESIGNATURE"
"P2","registrar-marca-honduras-paso-a-paso","propiedad-intelectual","Pineda y Asociados","firm_historical_review","lawyer","Thania Marlene Paz","false","0","HISTORICAL_REVIEW_CONFIRMED","","READY_FOR_INDIVIDUAL_SIGNATURE"
"P3","como-obtener-rtn-personas-empresas-honduras","practica-legal","Pineda y Asociados","firm_historical_review","firm","","false","0","HISTORICAL_REVIEW_CONFIRMED","","FIRM_SIGNATURE_VALID"
"P3","como-elegir-buen-abogado-guia-practica-honduras","practica-legal","Pineda y Asociados","firm_historical_review","firm","","false","0","HISTORICAL_REVIEW_CONFIRMED","","FIRM_SIGNATURE_VALID"
"P2","contratos-confidencialidad-nda-secreto-comercial-honduras","propiedad-intelectual","Pineda y Asociados","firm_historical_review","lawyer","Thania Marlene Paz","false","0","HISTORICAL_REVIEW_CONFIRMED","","READY_FOR_INDIVIDUAL_SIGNATURE"
"P3","permiso-trabajo-extranjeros-honduras","extranjeria-migracion","Pineda y Asociados","firm_historical_review","firm","","false","0","HISTORICAL_REVIEW_CONFIRMED","","FIRM_SIGNATURE_VALID"
"P3","libertad-expresion-redes-sociales-honduras","derechos-ciudadanos","Pineda y Asociados","firm_historical_review","firm","","false","0","HISTORICAL_REVIEW_CONFIRMED","","FIRM_SIGNATURE_VALID"
"P2","poder-desde-espana-para-tramites-honduras","hondurenos-en-espana","Pineda y Asociados","firm_historical_review","lawyer","Thania Marlene Paz","false","0","HISTORICAL_REVIEW_CONFIRMED","","READY_FOR_INDIVIDUAL_SIGNATURE"
"P3","elegir-bufete-multidisciplinario-ventajas-honduras","practica-legal","Pineda y Asociados","firm_historical_review","firm","","false","0","HISTORICAL_REVIEW_CONFIRMED","","FIRM_SIGNATURE_VALID"
"P1","divorcio-honduras-guia-completa","derecho-de-familia","Pineda y Asociados","firm_historical_review","lawyer","Thania Marlene Paz","true","REVIEW_CHANGED_PARAGRAPHS","REVIEW_REQUIRED","docs/seo/review-packets/familia/batch-01.md","PENDING_RESIGNATURE"
"P3","constituir-empresa-guia-paso-a-paso-honduras","practica-legal","Pineda y Asociados","firm_historical_review","firm","","false","0","HISTORICAL_REVIEW_CONFIRMED","","FIRM_SIGNATURE_VALID"
"P2","hondurenos-espana-documentos","hondurenos-en-espana","Pineda y Asociados","firm_historical_review","lawyer","Thania Marlene Paz","false","0","HISTORICAL_REVIEW_CONFIRMED","","READY_FOR_INDIVIDUAL_SIGNATURE"
"P2","defensa-penal-menores-edad-honduras","derecho-penal","Pineda y Asociados","firm_historical_review","lawyer","Danilo Pineda Maradiaga","false","0","HISTORICAL_REVIEW_CONFIRMED","","READY_FOR_INDIVIDUAL_SIGNATURE"
"P2","demanda-laboral-choluteca","derecho-laboral","Pineda y Asociados","firm_historical_review","lawyer","Emil Barahona","false","0","HISTORICAL_REVIEW_CONFIRMED","","READY_FOR_INDIVIDUAL_SIGNATURE"
"P2","defensa-penal-honduras","derecho-penal","Pineda y Asociados","firm_historical_review","lawyer","Danilo Pineda Maradiaga","false","0","HISTORICAL_REVIEW_CONFIRMED","","READY_FOR_INDIVIDUAL_SIGNATURE"
"P3","preguntas-frecuentes-antes-contratar-abogado-honduras","practica-legal","Pineda y Asociados","firm_historical_review","firm","","false","0","HISTORICAL_REVIEW_CONFIRMED","","FIRM_SIGNATURE_VALID"
"P3","abogados-en-choluteca","practica-legal","Pineda y Asociados","firm_historical_review","firm","","false","0","HISTORICAL_REVIEW_CONFIRMED","","FIRM_SIGNATURE_VALID"
"P1","derechos-trabajadora-embarazada-honduras","derecho-laboral","Pineda y Asociados","firm_historical_review","lawyer","Emil Barahona","true","REVIEW_CHANGED_PARAGRAPHS","REVIEW_REQUIRED","docs/seo/review-packets/laboral/batch-01.md","PENDING_RESIGNATURE"
"P1","empleador-no-paga-salario-honduras","derecho-laboral","Pineda y Asociados","firm_historical_review","lawyer","Emil Barahona","true","REVIEW_CHANGED_PARAGRAPHS","REVIEW_REQUIRED","docs/seo/review-packets/laboral/batch-01.md","PENDING_RESIGNATURE"
"P3","proceso-consulta-legal-pineda","practica-legal","Pineda y Asociados","firm_historical_review","firm","","false","0","HISTORICAL_REVIEW_CONFIRMED","","FIRM_SIGNATURE_VALID"
"P2","errores-contratos-civiles-honduras","derecho-civil","Pineda y Asociados","firm_historical_review","lawyer","Thania Marlene Paz","false","0","HISTORICAL_REVIEW_CONFIRMED","","READY_FOR_INDIVIDUAL_SIGNATURE"
"P2","recurso-de-amparo-honduras-guia-completa","derecho-administrativo","Pineda y Asociados","firm_historical_review","lawyer","Thania Marlene Paz","false","0","HISTORICAL_REVIEW_CONFIRMED","","READY_FOR_INDIVIDUAL_SIGNATURE"
"P1","despido-injustificado-honduras-derechos-trabajador","derecho-laboral","Pineda y Asociados","firm_historical_review","lawyer","Emil Barahona","true","REVIEW_CHANGED_PARAGRAPHS","REVIEW_REQUIRED","docs/seo/review-packets/laboral/batch-01.md","PENDING_RESIGNATURE"
"P2","herencias-transfronterizas-bienes","hondurenos-en-espana","Pineda y Asociados","firm_historical_review","lawyer","Thania Marlene Paz","false","0","HISTORICAL_REVIEW_CONFIRMED","","READY_FOR_INDIVIDUAL_SIGNATURE"
"P2","abogado-laboral-choluteca","derecho-laboral","Pineda y Asociados","firm_historical_review","lawyer","Emil Barahona","false","0","HISTORICAL_REVIEW_CONFIRMED","","READY_FOR_INDIVIDUAL_SIGNATURE"
"P2","accidente-transito-choluteca","derecho-civil","Pineda y Asociados","firm_historical_review","lawyer","Thania Marlene Paz","false","0","HISTORICAL_REVIEW_CONFIRMED","","READY_FOR_INDIVIDUAL_SIGNATURE"
"P3","tramites-legales-nacaome","practica-legal","Pineda y Asociados","firm_historical_review","firm","","false","0","HISTORICAL_REVIEW_CONFIRMED","","FIRM_SIGNATURE_VALID"
"P1","despido-laboral-honduras-guia-completa","derecho-laboral","Pineda y Asociados","firm_historical_review","lawyer","Emil Barahona","true","REVIEW_CHANGED_PARAGRAPHS","REVIEW_REQUIRED","docs/seo/review-packets/laboral/batch-01.md","PENDING_RESIGNATURE"
"P2","abogado-penalista-choluteca","derecho-penal","Pineda y Asociados","firm_historical_review","lawyer","Danilo Pineda Maradiaga","false","0","HISTORICAL_REVIEW_CONFIRMED","","READY_FOR_INDIVIDUAL_SIGNATURE"
"P1","calcular-liquidacion-laboral-honduras","derecho-laboral","Pineda y Asociados","firm_historical_review","lawyer","Emil Barahona","true","REVIEW_CHANGED_PARAGRAPHS","REVIEW_REQUIRED","docs/seo/review-packets/laboral/batch-01.md","PENDING_RESIGNATURE"
"P1","pension-alimenticia-honduras-guia-completa","derecho-de-familia","Pineda y Asociados","firm_historical_review","lawyer","Thania Marlene Paz","true","REVIEW_CHANGED_PARAGRAPHS","REVIEW_REQUIRED","docs/seo/review-packets/familia/batch-01.md","PENDING_RESIGNATURE"
"P3","abogados-en-marcovia-choluteca","practica-legal","Pineda y Asociados","firm_historical_review","firm","","false","0","HISTORICAL_REVIEW_CONFIRMED","","FIRM_SIGNATURE_VALID"
"P1","calcular-prestaciones-laborales-honduras","derecho-laboral","Pineda y Asociados","firm_historical_review","lawyer","Emil Barahona","true","REVIEW_CHANGED_PARAGRAPHS","REVIEW_REQUIRED","docs/seo/review-packets/laboral/batch-01.md","PENDING_RESIGNATURE"
"P3","como-preparar-demanda-guia-no-abogados-honduras","practica-legal","Pineda y Asociados","firm_historical_review","firm","","false","0","HISTORICAL_REVIEW_CONFIRMED","","FIRM_SIGNATURE_VALID"
"P1","contratos-mercantiles-esenciales-empresas-honduras","derecho-mercantil","Pineda y Asociados","firm_historical_review","lawyer","Thania Marlene Paz","true","REVIEW_CHANGED_PARAGRAPHS","REVIEW_REQUIRED","docs/seo/review-packets/mercantil/batch-01.md","PENDING_RESIGNATURE"
"P3","derechos-indigenas-consulta-previa-honduras","derecho-ambiental","Pineda y Asociados","firm_historical_review","firm","","false","0","HISTORICAL_REVIEW_CONFIRMED","","FIRM_SIGNATURE_VALID"
"P3","visas-inversion-rentista-pensionado","extranjeria-migracion","Pineda y Asociados","firm_historical_review","firm","","false","0","HISTORICAL_REVIEW_CONFIRMED","","FIRM_SIGNATURE_VALID"
"P2","nacionalidad-espanola-para-hondurenos-residencia-plazos","hondurenos-en-espana","Pineda y Asociados","firm_historical_review","lawyer","Thania Marlene Paz","false","0","HISTORICAL_REVIEW_CONFIRMED","","READY_FOR_INDIVIDUAL_SIGNATURE"
"P2","despido-empleados-publicos-honduras","derecho-administrativo","Pineda y Asociados","firm_historical_review","lawyer","Thania Marlene Paz","false","0","HISTORICAL_REVIEW_CONFIRMED","","READY_FOR_INDIVIDUAL_SIGNATURE"
"P2","divorcio-choluteca","derecho-de-familia","Pineda y Asociados","firm_historical_review","lawyer","Thania Marlene Paz","false","0","HISTORICAL_REVIEW_CONFIRMED","","READY_FOR_INDIVIDUAL_SIGNATURE"
"P2","medidas-sustitutivas-prision-preventiva-honduras","derecho-penal","Pineda y Asociados","firm_historical_review","lawyer","Danilo Pineda Maradiaga","false","0","HISTORICAL_REVIEW_CONFIRMED","","READY_FOR_INDIVIDUAL_SIGNATURE"
"P2","sanciones-administrativas-como-defenderse-honduras","derecho-administrativo","Pineda y Asociados","firm_historical_review","lawyer","Thania Marlene Paz","false","0","HISTORICAL_REVIEW_CONFIRMED","","READY_FOR_INDIVIDUAL_SIGNATURE"
"P1","que-hacer-si-me-detienen-en-honduras","derecho-penal","Pineda y Asociados","firm_historical_review","lawyer","Danilo Pineda Maradiaga","true","REVIEW_CHANGED_PARAGRAPHS","REVIEW_REQUIRED","docs/seo/review-packets/penal/batch-01.md","PENDING_RESIGNATURE"
"P1","poder-legal-honduras-cuando-se-necesita","derecho-notarial","Pineda y Asociados","firm_historical_review","lawyer","Thania Marlene Paz","true","REVIEW_CHANGED_PARAGRAPHS","REVIEW_REQUIRED","docs/seo/review-packets/civil-notarial/batch-01.md","PENDING_RESIGNATURE"
"P2","derechos-laborales-basicos-honduras","derecho-laboral","Pineda y Asociados","firm_historical_review","lawyer","Emil Barahona","false","0","HISTORICAL_REVIEW_CONFIRMED","","READY_FOR_INDIVIDUAL_SIGNATURE"
"P2","tramites-notariales-frecuentes-honduras","derecho-notarial","Pineda y Asociados","firm_historical_review","lawyer","Thania Marlene Paz","false","0","HISTORICAL_REVIEW_CONFIRMED","","READY_FOR_INDIVIDUAL_SIGNATURE"
"P2","servicios-legales-empresas-sur-honduras","derecho-civil","Pineda y Asociados","firm_historical_review","lawyer","Thania Marlene Paz","false","0","HISTORICAL_REVIEW_CONFIRMED","","READY_FOR_INDIVIDUAL_SIGNATURE"
