"priority","article","area","author_proposed","reviewer_proposed","change_type","claims_count","sources_count","gsc_impressions","gsc_clicks","risk","review_packet","status"
"98","https://www.pinedayasociadoshn.com/blog/derecho-bancario/central-riesgos-consultar-impugnar-honduras","derecho-bancario","HUMAN_ASSIGNMENT_REQUIRED","HUMAN_ASSIGNMENT_REQUIRED","DOCUMENTARY_REVIEW_READY","5","0","0","0","MEDIUM","","lawyer_review_pending"
"99","https://www.pinedayasociadoshn.com/blog/tributario/defensa-sar-choluteca","tributario","HUMAN_ASSIGNMENT_REQUIRED","HUMAN_ASSIGNMENT_REQUIRED","HUMAN_ASSIGNMENT_REQUIRED","7","1","0","0","MEDIUM","","lawyer_review_pending"
"100","https://www.pinedayasociadoshn.com/blog/conciliacion-arbitraje/centro-conciliacion-arbitraje-ccic","conciliacion-arbitraje","HUMAN_ASSIGNMENT_REQUIRED","HUMAN_ASSIGNMENT_REQUIRED","DOCUMENTARY_REVIEW_READY","4","0","0","0","MEDIUM","","lawyer_review_pending"
"101","https://www.pinedayasociadoshn.com/blog/derecho-aduanero/codigo-aduanero-centroamericano","derecho-aduanero","HUMAN_ASSIGNMENT_REQUIRED","HUMAN_ASSIGNMENT_REQUIRED","CONTENT_REWRITE_REQUIRED","3","0","0","0","MEDIUM","","lawyer_review_pending"
"102","https://www.pinedayasociadoshn.com/blog/conciliacion-arbitraje/mediacion-vs-juicio-cual-elegir","conciliacion-arbitraje","HUMAN_ASSIGNMENT_REQUIRED","HUMAN_ASSIGNMENT_REQUIRED","DOCUMENTARY_REVIEW_READY","4","0","0","0","MEDIUM","","lawyer_review_pending"
"103","https://www.pinedayasociadoshn.com/blog/proceso-penal/sobreseimiento-definitivo-provisional","proceso-penal","HUMAN_ASSIGNMENT_REQUIRED","HUMAN_ASSIGNMENT_REQUIRED","DOCUMENTARY_REVIEW_READY","5","0","0","0","MEDIUM","","lawyer_review_pending"
"104","https://www.pinedayasociadoshn.com/blog/derechos-ciudadanos/proteccion-datos-personales-derechos-arco-honduras","derechos-ciudadanos","HUMAN_ASSIGNMENT_REQUIRED","HUMAN_ASSIGNMENT_REQUIRED","DOCUMENTARY_REVIEW_READY","5","0","0","0","MEDIUM","","lawyer_review_pending"
"105","https://www.pinedayasociadoshn.com/blog/propiedad-intelectual/derechos-de-autor-proteccion-registro-honduras","propiedad-intelectual","HUMAN_ASSIGNMENT_REQUIRED","HUMAN_ASSIGNMENT_REQUIRED","DOCUMENTARY_REVIEW_READY","5","0","0","0","MEDIUM","","lawyer_review_pending"
"106","https://www.pinedayasociadoshn.com/blog/conciliacion-arbitraje/mediacion-familiar-cuando-funciona-honduras","conciliacion-arbitraje","HUMAN_ASSIGNMENT_REQUIRED","HUMAN_ASSIGNMENT_REQUIRED","DOCUMENTARY_REVIEW_READY","5","0","0","0","MEDIUM","","lawyer_review_pending"
"107","https://www.pinedayasociadoshn.com/blog/tributario/impuestos-pequenas-empresas-guia-basica-honduras","tributario","HUMAN_ASSIGNMENT_REQUIRED","HUMAN_ASSIGNMENT_REQUIRED","DOCUMENTARY_REVIEW_READY","4","0","0","0","MEDIUM","","lawyer_review_pending"
"108","https://www.pinedayasociadoshn.com/blog/derecho-mercantil/incumplimiento-contrato-comercial-honduras","derecho-mercantil","Thania Marlene Paz","Emil Barahona","DOCUMENTARY_REVIEW_READY","5","0","0","0","MEDIUM","","lawyer_review_pending"
"109","https://www.pinedayasociadoshn.com/blog/propiedad-intelectual/proteccion-marcas-competencia-desleal","propiedad-intelectual","HUMAN_ASSIGNMENT_REQUIRED","HUMAN_ASSIGNMENT_REQUIRED","DOCUMENTARY_REVIEW_READY","5","0","0","0","MEDIUM","","lawyer_review_pending"
"110","https://www.pinedayasociadoshn.com/blog/tributario/impuesto-renta-guia-personas-fisicas-honduras","tributario","HUMAN_ASSIGNMENT_REQUIRED","HUMAN_ASSIGNMENT_REQUIRED","DOCUMENTARY_REVIEW_READY","5","0","0","0","MEDIUM","","lawyer_review_pending"
"111","https://www.pinedayasociadoshn.com/blog/extranjeria-migracion/refugio-asilo-solicitarlo","extranjeria-migracion","HUMAN_ASSIGNMENT_REQUIRED","HUMAN_ASSIGNMENT_REQUIRED","DOCUMENTARY_REVIEW_READY","4","0","0","0","MEDIUM","","lawyer_review_pending"
"112","https://www.pinedayasociadoshn.com/blog/derecho-notarial/poder-notarial-honduras-tipos-requisitos","derecho-notarial","HUMAN_ASSIGNMENT_REQUIRED","HUMAN_ASSIGNMENT_REQUIRED","DOCUMENTARY_REVIEW_READY","6","0","0","0","MEDIUM","","lawyer_review_pending"
"113","https://www.pinedayasociadoshn.com/blog/practica-legal/abogados-en-san-marcos-de-colon-choluteca","practica-legal","HUMAN_ASSIGNMENT_REQUIRED","HUMAN_ASSIGNMENT_REQUIRED","DOCUMENTARY_REVIEW_READY","6","0","0","0","MEDIUM","","lawyer_review_pending"
"114","https://www.pinedayasociadoshn.com/blog/practica-legal/como-elegir-abogado-honduras","practica-legal","HUMAN_ASSIGNMENT_REQUIRED","HUMAN_ASSIGNMENT_REQUIRED","DOCUMENTARY_REVIEW_READY","7","0","0","0","MEDIUM","","lawyer_review_pending"
"115","https://www.pinedayasociadoshn.com/blog/tributario/isv-impuesto-venta-tasas-obligaciones-honduras","tributario","HUMAN_ASSIGNMENT_REQUIRED","HUMAN_ASSIGNMENT_REQUIRED","DOCUMENTARY_REVIEW_READY","6","0","0","0","MEDIUM","","lawyer_review_pending"
"116","https://www.pinedayasociadoshn.com/blog/derecho-ambiental/evaluacion-impacto-ambiental-honduras","derecho-ambiental","HUMAN_ASSIGNMENT_REQUIRED","HUMAN_ASSIGNMENT_REQUIRED","DOCUMENTARY_REVIEW_READY","4","0","0","0","MEDIUM","","lawyer_review_pending"
"117","https://www.pinedayasociadoshn.com/blog/derecho-ambiental/evaluacion-impacto-ambiental-paso-a-paso-honduras","derecho-ambiental","HUMAN_ASSIGNMENT_REQUIRED","HUMAN_ASSIGNMENT_REQUIRED","CONTENT_REWRITE_REQUIRED","3","0","0","0","MEDIUM","","lawyer_review_pending"
"118","https://www.pinedayasociadoshn.com/blog/practica-legal/abogados-en-pespire-choluteca","practica-legal","HUMAN_ASSIGNMENT_REQUIRED","HUMAN_ASSIGNMENT_REQUIRED","DOCUMENTARY_REVIEW_READY","4","0","0","0","MEDIUM","","lawyer_review_pending"
"119","https://www.pinedayasociadoshn.com/blog/derecho-aduanero/importar-mercancias-guia-aduanera","derecho-aduanero","HUMAN_ASSIGNMENT_REQUIRED","HUMAN_ASSIGNMENT_REQUIRED","DOCUMENTARY_REVIEW_READY","5","0","0","0","MEDIUM","","lawyer_review_pending"
"120","https://www.pinedayasociadoshn.com/blog/conciliacion-arbitraje/arbitraje-honduras-guia-completa","conciliacion-arbitraje","HUMAN_ASSIGNMENT_REQUIRED","HUMAN_ASSIGNMENT_REQUIRED","DOCUMENTARY_REVIEW_READY","3","0","0","0","MEDIUM","","lawyer_review_pending"
"121","https://www.pinedayasociadoshn.com/blog/derecho-mercantil/contratos-franquicia-aspectos","derecho-mercantil","Thania Marlene Paz","Emil Barahona","DOCUMENTARY_REVIEW_READY","5","0","0","0","MEDIUM","","lawyer_review_pending"
"122","https://www.pinedayasociadoshn.com/blog/derecho-mercantil/abogado-empresas-san-lorenzo","derecho-mercantil","Thania Marlene Paz","Emil Barahona","READY_FOR_LAWYER_REVIEW","4","1","0","0","MEDIUM","","lawyer_review_pending"
"123","https://www.pinedayasociadoshn.com/blog/derecho-bancario/derechos-consumidor-financiero-honduras-cnbs","derecho-bancario","HUMAN_ASSIGNMENT_REQUIRED","HUMAN_ASSIGNMENT_REQUIRED","DOCUMENTARY_REVIEW_READY","5","0","0","0","MEDIUM","","lawyer_review_pending"
"124","https://www.pinedayasociadoshn.com/blog/tributario/facturacion-electronica-requisitos-sar","tributario","HUMAN_ASSIGNMENT_REQUIRED","HUMAN_ASSIGNMENT_REQUIRED","DOCUMENTARY_REVIEW_READY","4","0","0","0","MEDIUM","","lawyer_review_pending"
"125","https://www.pinedayasociadoshn.com/blog/hondurenos-en-espana/reagrupacion-familiar-hondurenos-espana","hondurenos-en-espana","HUMAN_ASSIGNMENT_REQUIRED","HUMAN_ASSIGNMENT_REQUIRED","DOCUMENTARY_REVIEW_READY","4","0","0","0","MEDIUM","","lawyer_review_pending"
"126","https://www.pinedayasociadoshn.com/blog/derecho-ambiental/delitos-ambientales-como-denunciarlos-honduras","derecho-ambiental","HUMAN_ASSIGNMENT_REQUIRED","HUMAN_ASSIGNMENT_REQUIRED","DOCUMENTARY_REVIEW_READY","4","0","0","0","MEDIUM","","lawyer_review_pending"
"127","https://www.pinedayasociadoshn.com/blog/derecho-bancario/central-riesgos-honduras-consultar-impugnar","derecho-bancario","HUMAN_ASSIGNMENT_REQUIRED","HUMAN_ASSIGNMENT_REQUIRED","DOCUMENTARY_REVIEW_READY","4","0","0","0","MEDIUM","","lawyer_review_pending"
"128","https://www.pinedayasociadoshn.com/blog/practica-legal/costos-honorarios-abogados-como-funcionan-honduras","practica-legal","HUMAN_ASSIGNMENT_REQUIRED","HUMAN_ASSIGNMENT_REQUIRED","DOCUMENTARY_REVIEW_READY","5","0","0","0","MEDIUM","","lawyer_review_pending"
"129","https://www.pinedayasociadoshn.com/blog/derecho-ambiental/derecho-ambiental-honduras","derecho-ambiental","HUMAN_ASSIGNMENT_REQUIRED","HUMAN_ASSIGNMENT_REQUIRED","DOCUMENTARY_REVIEW_READY","6","0","0","0","MEDIUM","","lawyer_review_pending"
"130","https://www.pinedayasociadoshn.com/blog/conciliacion-arbitraje/arbitraje-cuando-conviene-como-funciona-honduras","conciliacion-arbitraje","HUMAN_ASSIGNMENT_REQUIRED","HUMAN_ASSIGNMENT_REQUIRED","DOCUMENTARY_REVIEW_READY","4","0","0","0","MEDIUM","","lawyer_review_pending"
"131","https://www.pinedayasociadoshn.com/blog/tributario/impuesto-renta-personas-fisicas-honduras","tributario","HUMAN_ASSIGNMENT_REQUIRED","HUMAN_ASSIGNMENT_REQUIRED","DOCUMENTARY_REVIEW_READY","6","0","0","0","MEDIUM","","lawyer_review_pending"
"132","https://www.pinedayasociadoshn.com/blog/derecho-mercantil/elegir-tipo-sociedad-empresa-honduras","derecho-mercantil","Thania Marlene Paz","Emil Barahona","DOCUMENTARY_REVIEW_READY","4","0","0","0","MEDIUM","","lawyer_review_pending"
"133","https://www.pinedayasociadoshn.com/blog/practica-legal/elegir-bufete-abogados-nacaome","practica-legal","HUMAN_ASSIGNMENT_REQUIRED","HUMAN_ASSIGNMENT_REQUIRED","DOCUMENTARY_REVIEW_READY","5","0","0","0","MEDIUM","","lawyer_review_pending"
"134","https://www.pinedayasociadoshn.com/blog/derecho-aduanero/abogado-aduanero-san-lorenzo","derecho-aduanero","HUMAN_ASSIGNMENT_REQUIRED","HUMAN_ASSIGNMENT_REQUIRED","HUMAN_ASSIGNMENT_REQUIRED","5","1","0","0","MEDIUM","","lawyer_review_pending"
"135","https://www.pinedayasociadoshn.com/blog/derecho-bancario/ejecucion-hipotecaria-que-hacer-honduras","derecho-bancario","HUMAN_ASSIGNMENT_REQUIRED","HUMAN_ASSIGNMENT_REQUIRED","DOCUMENTARY_REVIEW_READY","5","0","0","0","MEDIUM","","lawyer_review_pending"
"136","https://www.pinedayasociadoshn.com/blog/derecho-administrativo/despido-empleados-publicos-procedencia-defensa-honduras","derecho-administrativo","Thania Marlene Paz","Emil Barahona","CONTENT_REWRITE_REQUIRED","1","0","0","0","MEDIUM","","lawyer_review_pending"
"137","https://www.pinedayasociadoshn.com/blog/derechos-ciudadanos/derechos-del-detenido-guia-constitucional-honduras","derechos-ciudadanos","HUMAN_ASSIGNMENT_REQUIRED","HUMAN_ASSIGNMENT_REQUIRED","CONTENT_REWRITE_REQUIRED","3","0","0","0","MEDIUM","","lawyer_review_pending"
"138","https://www.pinedayasociadoshn.com/blog/derecho-bancario/derechos-consumidor-financiero-cnbs-honduras","derecho-bancario","HUMAN_ASSIGNMENT_REQUIRED","HUMAN_ASSIGNMENT_REQUIRED","DOCUMENTARY_REVIEW_READY","5","0","0","0","MEDIUM","","lawyer_review_pending"
"139","https://www.pinedayasociadoshn.com/blog/hondurenos-en-espana/hondurenos-en-espana-guia-legal-completa","hondurenos-en-espana","HUMAN_ASSIGNMENT_REQUIRED","HUMAN_ASSIGNMENT_REQUIRED","CONTENT_REWRITE_REQUIRED","1","0","0","0","MEDIUM","","lawyer_review_pending"
"140","https://www.pinedayasociadoshn.com/blog/practica-legal/abogados-en-amapala-valle","practica-legal","HUMAN_ASSIGNMENT_REQUIRED","HUMAN_ASSIGNMENT_REQUIRED","DOCUMENTARY_REVIEW_READY","5","0","0","0","MEDIUM","","lawyer_review_pending"
"141","https://www.pinedayasociadoshn.com/blog/propiedad-intelectual/registrar-marca-paso-a-paso-honduras","propiedad-intelectual","HUMAN_ASSIGNMENT_REQUIRED","HUMAN_ASSIGNMENT_REQUIRED","DOCUMENTARY_REVIEW_READY","6","0","0","0","MEDIUM","","lawyer_review_pending"
"142","https://www.pinedayasociadoshn.com/blog/derechos-ciudadanos/derecho-de-peticion-instituciones-honduras","derechos-ciudadanos","HUMAN_ASSIGNMENT_REQUIRED","HUMAN_ASSIGNMENT_REQUIRED","DOCUMENTARY_REVIEW_READY","5","0","0","0","MEDIUM","","lawyer_review_pending"
"143","https://www.pinedayasociadoshn.com/blog/hondurenos-en-espana/asuntos-familiares-honduras-espana","hondurenos-en-espana","HUMAN_ASSIGNMENT_REQUIRED","HUMAN_ASSIGNMENT_REQUIRED","DOCUMENTARY_REVIEW_READY","5","0","0","0","MEDIUM","","lawyer_review_pending"
"144","https://www.pinedayasociadoshn.com/blog/derecho-administrativo/recurso-de-amparo-para-que-sirve-honduras","derecho-administrativo","Thania Marlene Paz","Emil Barahona","DOCUMENTARY_REVIEW_READY","5","0","0","0","MEDIUM","","lawyer_review_pending"
"145","https://www.pinedayasociadoshn.com/blog/hondurenos-en-espana/tributar-espana-bienes-guia","hondurenos-en-espana","HUMAN_ASSIGNMENT_REQUIRED","HUMAN_ASSIGNMENT_REQUIRED","DOCUMENTARY_REVIEW_READY","5","0","0","0","MEDIUM","","lawyer_review_pending"
"146","https://www.pinedayasociadoshn.com/blog/practica-legal/lavado-activos-obligaciones","practica-legal","HUMAN_ASSIGNMENT_REQUIRED","HUMAN_ASSIGNMENT_REQUIRED","DOCUMENTARY_REVIEW_READY","5","0","0","0","MEDIUM","","lawyer_review_pending"
"147","https://www.pinedayasociadoshn.com/blog/derecho-aduanero/guia-aduanera-importaciones-honduras","derecho-aduanero","HUMAN_ASSIGNMENT_REQUIRED","HUMAN_ASSIGNMENT_REQUIRED","DOCUMENTARY_REVIEW_READY","10","0","0","0","MEDIUM","","lawyer_review_pending"
"148","https://www.pinedayasociadoshn.com/blog/noticias-legales/actualizacion-legislativa-mensual-honduras","noticias-legales","HUMAN_ASSIGNMENT_REQUIRED","HUMAN_ASSIGNMENT_REQUIRED","DOCUMENTARY_REVIEW_READY","5","0","0","0","MEDIUM","","lawyer_review_pending"
"149","https://www.pinedayasociadoshn.com/blog/propiedad-intelectual/patentes-requisitos-proceso-solicitud-honduras","propiedad-intelectual","HUMAN_ASSIGNMENT_REQUIRED","HUMAN_ASSIGNMENT_REQUIRED","DOCUMENTARY_REVIEW_READY","6","0","0","0","MEDIUM","","lawyer_review_pending"
"150","https://www.pinedayasociadoshn.com/blog/derecho-bancario/banco-demanda-deuda-defensa-opciones-honduras","derecho-bancario","HUMAN_ASSIGNMENT_REQUIRED","HUMAN_ASSIGNMENT_REQUIRED","DOCUMENTARY_REVIEW_READY","4","0","0","0","MEDIUM","","lawyer_review_pending"
"151","https://www.pinedayasociadoshn.com/blog/derecho-aduanero/importar-china-guia-aduanera","derecho-aduanero","HUMAN_ASSIGNMENT_REQUIRED","HUMAN_ASSIGNMENT_REQUIRED","DOCUMENTARY_REVIEW_READY","5","0","0","0","MEDIUM","","lawyer_review_pending"
"152","https://www.pinedayasociadoshn.com/blog/practica-legal/abogados-en-nacaome","practica-legal","HUMAN_ASSIGNMENT_REQUIRED","HUMAN_ASSIGNMENT_REQUIRED","DOCUMENTARY_REVIEW_READY","5","0","0","0","MEDIUM","","lawyer_review_pending"
"153","https://www.pinedayasociadoshn.com/blog/derecho-mercantil/tipos-sociedad-mercantil-honduras","derecho-mercantil","Thania Marlene Paz","Emil Barahona","DOCUMENTARY_REVIEW_READY","5","0","0","0","MEDIUM","","lawyer_review_pending"
"154","https://www.pinedayasociadoshn.com/blog/propiedad-intelectual/registrar-marca-honduras-paso-a-paso","propiedad-intelectual","HUMAN_ASSIGNMENT_REQUIRED","HUMAN_ASSIGNMENT_REQUIRED","DOCUMENTARY_REVIEW_READY","5","0","0","0","MEDIUM","","lawyer_review_pending"
"155","https://www.pinedayasociadoshn.com/blog/practica-legal/como-obtener-rtn-personas-empresas-honduras","practica-legal","HUMAN_ASSIGNMENT_REQUIRED","HUMAN_ASSIGNMENT_REQUIRED","DOCUMENTARY_REVIEW_READY","4","0","0","0","MEDIUM","","lawyer_review_pending"
"156","https://www.pinedayasociadoshn.com/blog/practica-legal/como-elegir-buen-abogado-guia-practica-honduras","practica-legal","HUMAN_ASSIGNMENT_REQUIRED","HUMAN_ASSIGNMENT_REQUIRED","DOCUMENTARY_REVIEW_READY","4","0","0","0","MEDIUM","","lawyer_review_pending"
"157","https://www.pinedayasociadoshn.com/blog/propiedad-intelectual/contratos-confidencialidad-nda-secreto-comercial-honduras","propiedad-intelectual","HUMAN_ASSIGNMENT_REQUIRED","HUMAN_ASSIGNMENT_REQUIRED","DOCUMENTARY_REVIEW_READY","5","0","0","0","MEDIUM","","lawyer_review_pending"
"158","https://www.pinedayasociadoshn.com/blog/extranjeria-migracion/permiso-trabajo-extranjeros-honduras","extranjeria-migracion","HUMAN_ASSIGNMENT_REQUIRED","HUMAN_ASSIGNMENT_REQUIRED","DOCUMENTARY_REVIEW_READY","5","0","0","0","MEDIUM","","lawyer_review_pending"
"159","https://www.pinedayasociadoshn.com/blog/derechos-ciudadanos/libertad-expresion-redes-sociales-honduras","derechos-ciudadanos","HUMAN_ASSIGNMENT_REQUIRED","HUMAN_ASSIGNMENT_REQUIRED","DOCUMENTARY_REVIEW_READY","5","0","0","0","MEDIUM","","lawyer_review_pending"
"160","https://www.pinedayasociadoshn.com/blog/hondurenos-en-espana/poder-desde-espana-para-tramites-honduras","hondurenos-en-espana","HUMAN_ASSIGNMENT_REQUIRED","HUMAN_ASSIGNMENT_REQUIRED","DOCUMENTARY_REVIEW_READY","6","0","0","0","MEDIUM","","lawyer_review_pending"
"161","https://www.pinedayasociadoshn.com/blog/practica-legal/elegir-bufete-multidisciplinario-ventajas-honduras","practica-legal","HUMAN_ASSIGNMENT_REQUIRED","HUMAN_ASSIGNMENT_REQUIRED","DOCUMENTARY_REVIEW_READY","6","0","0","0","MEDIUM","","lawyer_review_pending"
"162","https://www.pinedayasociadoshn.com/blog/practica-legal/constituir-empresa-guia-paso-a-paso-honduras","practica-legal","HUMAN_ASSIGNMENT_REQUIRED","HUMAN_ASSIGNMENT_REQUIRED","HUMAN_ASSIGNMENT_REQUIRED","7","4","0","0","MEDIUM","","lawyer_review_pending"
"163","https://www.pinedayasociadoshn.com/blog/hondurenos-en-espana/hondurenos-espana-documentos","hondurenos-en-espana","HUMAN_ASSIGNMENT_REQUIRED","HUMAN_ASSIGNMENT_REQUIRED","DOCUMENTARY_REVIEW_READY","5","0","0","0","MEDIUM","","lawyer_review_pending"
"164","https://www.pinedayasociadoshn.com/blog/practica-legal/preguntas-frecuentes-antes-contratar-abogado-honduras","practica-legal","HUMAN_ASSIGNMENT_REQUIRED","HUMAN_ASSIGNMENT_REQUIRED","DOCUMENTARY_REVIEW_READY","7","0","0","0","MEDIUM","","lawyer_review_pending"
"165","https://www.pinedayasociadoshn.com/blog/practica-legal/abogados-en-choluteca","practica-legal","HUMAN_ASSIGNMENT_REQUIRED","HUMAN_ASSIGNMENT_REQUIRED","DOCUMENTARY_REVIEW_READY","5","0","0","0","MEDIUM","","lawyer_review_pending"
"166","https://www.pinedayasociadoshn.com/blog/practica-legal/proceso-consulta-legal-pineda","practica-legal","HUMAN_ASSIGNMENT_REQUIRED","HUMAN_ASSIGNMENT_REQUIRED","DOCUMENTARY_REVIEW_READY","5","0","0","0","MEDIUM","","lawyer_review_pending"
"167","https://www.pinedayasociadoshn.com/blog/hondurenos-en-espana/herencias-transfronterizas-bienes","hondurenos-en-espana","HUMAN_ASSIGNMENT_REQUIRED","HUMAN_ASSIGNMENT_REQUIRED","CONTENT_REWRITE_REQUIRED","3","0","0","0","MEDIUM","","lawyer_review_pending"
"168","https://www.pinedayasociadoshn.com/blog/practica-legal/tramites-legales-nacaome","practica-legal","HUMAN_ASSIGNMENT_REQUIRED","HUMAN_ASSIGNMENT_REQUIRED","HUMAN_ASSIGNMENT_REQUIRED","8","1","0","0","MEDIUM","","lawyer_review_pending"
"169","https://www.pinedayasociadoshn.com/blog/practica-legal/abogados-en-marcovia-choluteca","practica-legal","HUMAN_ASSIGNMENT_REQUIRED","HUMAN_ASSIGNMENT_REQUIRED","DOCUMENTARY_REVIEW_READY","4","0","0","0","MEDIUM","","lawyer_review_pending"
"170","https://www.pinedayasociadoshn.com/blog/practica-legal/como-preparar-demanda-guia-no-abogados-honduras","practica-legal","HUMAN_ASSIGNMENT_REQUIRED","HUMAN_ASSIGNMENT_REQUIRED","DOCUMENTARY_REVIEW_READY","6","0","0","0","MEDIUM","","lawyer_review_pending"
"171","https://www.pinedayasociadoshn.com/blog/derecho-ambiental/derechos-indigenas-consulta-previa-honduras","derecho-ambiental","HUMAN_ASSIGNMENT_REQUIRED","HUMAN_ASSIGNMENT_REQUIRED","DOCUMENTARY_REVIEW_READY","4","0","0","0","MEDIUM","","lawyer_review_pending"
"172","https://www.pinedayasociadoshn.com/blog/extranjeria-migracion/visas-inversion-rentista-pensionado","extranjeria-migracion","HUMAN_ASSIGNMENT_REQUIRED","HUMAN_ASSIGNMENT_REQUIRED","DOCUMENTARY_REVIEW_READY","4","0","0","0","MEDIUM","","lawyer_review_pending"
"173","https://www.pinedayasociadoshn.com/blog/hondurenos-en-espana/nacionalidad-espanola-para-hondurenos-residencia-plazos","hondurenos-en-espana","HUMAN_ASSIGNMENT_REQUIRED","HUMAN_ASSIGNMENT_REQUIRED","DOCUMENTARY_REVIEW_READY","5","0","0","0","MEDIUM","","lawyer_review_pending"
"174","https://www.pinedayasociadoshn.com/blog/derecho-administrativo/despido-empleados-publicos-honduras","derecho-administrativo","Thania Marlene Paz","Emil Barahona","DOCUMENTARY_REVIEW_READY","6","0","0","0","MEDIUM","","lawyer_review_pending"
"175","https://www.pinedayasociadoshn.com/blog/derecho-administrativo/sanciones-administrativas-como-defenderse-honduras","derecho-administrativo","Thania Marlene Paz","Emil Barahona","DOCUMENTARY_REVIEW_READY","5","0","0","0","MEDIUM","","lawyer_review_pending"
